market_id,contract_code,in_roll_date,out_roll_date,in_roll_time,out_roll_time,prev_contract,next_contract,settle_of_prev_at_in,settle_at_in,settle_at_out,settle_of_next_at_out,in_settle_diff,out_settle_diff,in_settle_ratio,out_settle_ratio,is_valid_adj,fwd_roll_diff_adj_factor,backw_roll_diff_adj_factor,fwd_roll_ratio_adj_factor,backw_roll_ratio_adj_factor
36,199006,1900-01-01 00:00:00,1990-06-13 00:00:00,1900-01-01 17:35:00,1990-06-13 17:35:00,-1,199009,,,1.21623,1.210393,,-0.005837,,0.99520074328,1,0,0.031879,1,1.04864123226
36,199009,1990-06-13 00:00:00,1990-09-12 00:00:00,1990-06-13 17:35:00,1990-09-12 17:35:00,199006,199012,1.21623,1.210393,1.304958,1.298924,0.005837,-0.006034,1.00482240066,0.995376096395,1,0.005837,0.037716,1.00482240066,1.05369820042
36,199012,1990-09-12 00:00:00,1990-12-12 00:00:00,1990-09-12 17:35:00,1990-12-12 17:35:00,199009,199103,1.304958,1.298924,1.386027,1.376503,0.006034,-0.009524,1.00464538341,0.993128560988,1,0.011871,0.04375,1.00949018597,1.05859303256
36,199103,1990-12-12 00:00:00,1991-03-13 00:00:00,1990-12-12 17:35:00,1991-03-13 17:35:00,199012,199106,1.386027,1.376503,1.301071,1.291637,0.009524,-0.009434,1.00691898238,0.99274905059,1,0.021395,0.053274,1.01647483078,1.0659174191
36,199106,1991-03-13 00:00:00,1991-06-12 00:00:00,1991-03-13 17:35:00,1991-06-12 17:35:00,199103,199109,1.301071,1.291637,1.149083,1.138361,0.009434,-0.010722,1.00730390969,0.990669081346,1,0.030829,0.062708,1.02389907114,1.07370278367
36,199109,1991-06-12 00:00:00,1991-09-11 00:00:00,1991-06-12 17:35:00,1991-09-11 17:35:00,199106,199112,1.149083,1.138361,1.213444,1.20104,0.010722,-0.012404,1.00941880476,0.989777855426,1,0.041551,0.07343,1.03354297658,1.08381578055
36,199112,1991-09-11 00:00:00,1991-12-11 00:00:00,1991-09-11 17:35:00,1991-12-11 17:35:00,199109,199203,1.213444,1.20104,1.288993,1.269858,0.012404,-0.019135,1.01032771598,0.985155078422,1,0.053955,0.085834,1.0442171149,1.09500912211
36,199203,1991-12-11 00:00:00,1992-03-11 00:00:00,1991-12-11 17:35:00,1992-03-11 17:35:00,199112,199206,1.288993,1.269858,1.229638,1.211903,0.019135,-0.017735,1.01506861397,0.985577056012,1,0.07309,0.104969,1.0599520195,1.11150939186
36,199206,1992-03-11 00:00:00,1992-06-10 00:00:00,1992-03-11 17:35:00,1992-06-10 17:35:00,199203,199209,1.229638,1.211903,1.287608,1.266909,0.017735,-0.020699,1.01463400949,0.983924455269,1,0.090825,0.122704,1.07546336741,1.12777523085
36,199209,1992-06-10 00:00:00,1992-09-09 00:00:00,1992-06-10 17:35:00,1992-09-09 17:35:00,199206,199212,1.287608,1.266909,1.428442,1.399309,0.020699,-0.029133,1.01633819004,0.979605052218,1,0.111524,0.143403,1.09303449229,1.14620103689
36,199212,1992-09-09 00:00:00,1992-12-09 00:00:00,1992-09-09 17:35:00,1992-12-09 17:35:00,199209,199303,1.428442,1.399309,1.244147,1.222654,0.029133,-0.021493,1.02081956166,0.982724710183,1,0.140657,0.172536,1.11579099129,1.17006444004
36,199303,1992-12-09 00:00:00,1993-03-10 00:00:00,1992-12-09 17:35:00,1993-03-10 17:35:00,199212,199306,1.244147,1.222654,1.163877,1.147377,0.021493,-0.0165,1.01757897165,0.985823244209,1,0.16215,0.194029,1.13540544949,1.19063296966
36,199306,1993-03-10 00:00:00,1993-06-09 00:00:00,1993-03-10 17:35:00,1993-06-09 17:35:00,199303,199309,1.163877,1.147377,1.195119,1.182728,0.0165,-0.012391,1.01438062642,0.989631994806,1,0.17865,0.210529,1.15173329109,1.2077550176
36,199309,1993-06-09 00:00:00,1993-09-08 00:00:00,1993-06-09 17:35:00,1993-09-08 17:35:00,199306,199312,1.195119,1.182728,1.169565,1.156382,0.012391,-0.013183,1.01047662692,0.988728287868,1,0.191041,0.22292,1.16379957109,1.22040821633
36,199312,1993-09-08 00:00:00,1993-12-08 00:00:00,1993-09-08 17:35:00,1993-12-08 17:35:00,199309,199403,1.169565,1.156382,1.130752,1.122326,0.013183,-0.008426,1.01140021204,0.992548321825,1,0.204224,0.236103,1.17706713297,1.23432112877
36,199403,1993-12-08 00:00:00,1994-03-09 00:00:00,1993-12-08 17:35:00,1994-03-09 17:35:00,199312,199406,1.130752,1.122326,1.13307,1.126282,0.008426,-0.006788,1.00750762256,0.994009196254,1,0.21265,0.244529,1.18590410874,1.24358794593
36,199406,1994-03-09 00:00:00,1994-06-08 00:00:00,1994-03-09 17:35:00,1994-06-08 17:35:00,199403,199409,1.13307,1.126282,1.1568,1.152419,0.006788,-0.004381,1.00602690978,0.996212828492,1,0.219438,0.251317,1.19305144581,1.25108293828
36,199409,1994-06-08 00:00:00,1994-09-14 00:00:00,1994-06-08 17:35:00,1994-09-14 17:35:00,199406,199412,1.1568,1.152419,1.23619,1.233437,0.004381,-0.002753,1.0038015687,0.99777299606,1,0.223819,0.255698,1.19758691284,1.25583901602
36,199412,1994-09-14 00:00:00,1994-12-14 00:00:00,1994-09-14 17:35:00,1994-12-14 17:35:00,199409,199503,1.23619,1.233437,1.214111,1.213825,0.002753,-0.000286,1.00223197456,0.999764436695,1,0.226572,0.258451,1.20025989636,1.25864201675
36,199503,1994-12-14 00:00:00,1995-03-08 00:00:00,1994-12-14 17:35:00,1995-03-08 17:35:00,199412,199506,1.214111,1.213825,1.313007,1.310518,0.000286,-0.002489,1.00023561881,0.99810435131,1,0.226858,0.258737,1.20054270017,1.25893857648
36,199506,1995-03-08 00:00:00,1995-06-14 00:00:00,1995-03-08 17:35:00,1995-06-14 17:35:00,199503,199509,1.313007,1.310518,1.319984,1.319309,0.002489,-0.000675,1.001899249,0.999488630165,1,0.229347,0.261226,1.20282282969,1.26132961431
36,199509,1995-06-14 00:00:00,1995-09-13 00:00:00,1995-06-14 17:35:00,1995-09-13 17:35:00,199506,199512,1.319984,1.319309,1.257203,1.25838,0.000675,0.001177,1.00051163147,1.00093620521,1,0.230022,0.261901,1.2034382317,1.26197495023
36,199512,1995-09-13 00:00:00,1995-12-13 00:00:00,1995-09-13 17:35:00,1995-12-13 17:35:00,199509,199603,1.257203,1.25838,1.263529,1.264825,-0.001177,0.001296,0.999064670449,1.00102569866,1,0.228845,0.260724,1.20231262036,1.26079458777
